Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
2nd Mop Up BDS,"AB Shetty Memorial Inst. of Dental Sce.,
Mangaluru",BDS,MNG,GN,493928,823691,12
2nd Mop Up BDS,"BVDU Dental College and Hospital, Sangli",BDS,MNG,GN,84784,716476,15
2nd Mop Up BDS,"DR.Z.A.D.C.,FAC.OF MEDICINE,ALIGARH",BDS,ANR,GN,124753,315513,2
2nd Mop Up BDS,"DR.Z.A.D.C.,FAC.OF MEDICINE,ALIGARH",BDS,AON,GN,20022,23941,7
2nd Mop Up BDS,"DR.Z.A.D.C.,FAC.OF MEDICINE,ALIGARH",BDS,AON,GN PwD,678958,678958,1
2nd Mop Up BDS,"Dr. DY Patil Dental College and Hosp. Navi
Mumbai",BDS,MNG,GN,287540,758588,13
2nd Mop Up BDS,Dr. DY Patil Dental College and Hosp. Pune,BDS,MNG,GN,176016,176016,1
2nd Mop Up BDS,ESIC Dental College and Hospital,BDS,IP,GN,25592,28334,7
2nd Mop Up BDS,ESIC Dental College and Hospital,BDS,IP,OBC,29755,46141,8
2nd Mop Up BDS,ESIC Dental College and Hospital,BDS,IP,SC,103933,119836,4
2nd Mop Up BDS,ESIC Dental College and Hospital,BDS,IP,ST,260799,275640,2
2nd Mop Up BDS,"ESIC Dental College, Gulbarga",BDS,ESI,GN,81469,84205,3
2nd Mop Up BDS,"ESIC Dental College, Gulbarga",BDS,ESI,OBC,92685,97056,2
2nd Mop Up BDS,"ESIC Dental College, Gulbarga",BDS,ESI,SC,298563,301882,2
2nd Mop Up BDS,"Faculty of Dentistry, Jamia Millia Islamia, New
Delhi",BDS,JON,GN,19013,25446,10
2nd Mop Up BDS,"Faculty of Dentistry, Jamia Millia Islamia, New
Delhi",BDS,JON,GN PwD,542184,745190,2
2nd Mop Up BDS,"Faculty of Dentistry, Jamia Millia Islamia, New
Delhi",BDS,MW,GN,26330,27896,2
2nd Mop Up BDS,"IMS BHU Dental, Varanasi",BDS,BON,GN,15848,24030,19
2nd Mop Up BDS,"IMS BHU Dental, Varanasi",BDS,BON,GN PwD,716050,716050,1
2nd Mop Up BDS,"IMS BHU Dental, Varanasi",BDS,BON,OBC,24040,26005,7
2nd Mop Up BDS,"IMS BHU Dental, Varanasi",BDS,BON,SC,97364,122959,7
2nd Mop Up BDS,"IMS BHU Dental, Varanasi",BDS,BON,ST,110584,112668,2
2nd Mop Up BDS,"Indira Gandhi Dental College and SBV,
Pondycherry",BDS,MNG,GN,486495,768517,3
2nd Mop Up BDS,"Institute of Dental Sciences, Bhubaneswar",BDS,MNG,GN,446848,446848,1
2nd Mop Up BDS,"JSS Dental College and Hospital, Jagadguru",BDS,MNG,GN,400494,616056,2
2nd Mop Up BDS,"K M Shah Dental Collegel, SumanDeep
Vidyapeeth Vadodara",BDS,JM,GN,458265,458265,1
2nd Mop Up BDS,"K M Shah Dental Collegel, SumanDeep
Vidyapeeth Vadodara",BDS,MNG,GN,506361,582896,2
2nd Mop Up BDS,MANAV RACHNA DENTAL COLLEGE FARIDABAD,BDS,MNG,GN,197879,822932,5
2nd Mop Up BDS,"MM College of Dental Scie. and Res., Mullana",BDS,MNG,GN,127078,644557,3
2nd Mop Up BDS,"Manipal College of Dental Sce., Manipal",BDS,MNG,GN,75796,272480,8
2nd Mop Up BDS,"Manipal College of Dental Science, Mangalore",BDS,MNG,GN,310929,340333,2
2nd Mop Up BDS,"Maulana Azad Institute of Dental Sciences, New
Delhi",BDS,DU,GN,17089,17282,3
2nd Mop Up BDS,"Maulana Azad Institute of Dental Sciences, New
Delhi",BDS,DU,OBC,18920,19945,3
2nd Mop Up BDS,"Maulana Azad Institute of Dental Sciences, New
Delhi",BDS,DU,SC,40897,90257,3
2nd Mop Up BDS,"Maulana Azad Institute of Dental Sciences, New
Delhi",BDS,DU,ST,244651,244651,1
2nd Mop Up BDS,"Meenakshi Ammal Dental College and Host.,
Chennai1",BDS,MNG,GN,494452,624409,3
2nd Mop Up BDS,"SATHYABAMA UNIV. Dental College and Hospt.
Chennai",BDS,MNG,GN,260468,831592,7
2nd Mop Up BDS,SRM Katt. Dental College and Hospt. Chennai,BDS,MNG,GN,366591,768617,9
2nd Mop Up BDS,"Santosh Dental College and Hospital, Ghaziabad",BDS,MNG,GN,244001,683294,3
2nd Mop Up BDS,"School of Dental Sciences and KIMSDU, Karad",BDS,MNG,GN,335722,418485,3
2nd Mop Up BDS,"Sharad Pawar Dental College and Hospital,
Wardha",BDS,MNG,GN,361629,638224,4
2nd Mop Up BDS,"Sree Balaji Dental College and Hospital, Chennai",BDS,MNG,GN,462682,840396,11
2nd Mop Up BDS,"Sri Siddhartha DentalCollege, Tumkur",BDS,MNG,GN,485642,723910,2
2nd Mop Up BDS,"Thaimoogambigai Dental College and Hsopt.
Chennai",BDS,MNG,GN,479810,716384,4
2nd Mop Up BDS,"VMS Dental College, Salem",BDS,MNG,GN,366646,366646,1
2nd Mop Up BDS,"Yenepoya Dental College, Yenepoya",BDS,MM,GN,436807,436807,1
2nd Mop Up BDS,"Yenepoya Dental College, Yenepoya",BDS,MNG,GN,223928,668396,8
