Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
2nd Mop Up BDS/BSc,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru,Deralakatte, Mangaluru, Dakshina
Kannada, Karnataka, 575018",BDS,"Deemed/Pai
d Seats
Quota",Open,296524,921634,13
2nd Mop Up BDS/BSc,"Amrita School of Dentistry, Kochi,Amrita School of Dentistry, Amrita Institute of
Medical Sciences (AIMS), AIMS Ponekkara P.O, Kochi, Kerala, 682041",BDS,"Deemed/Pai
d Seats
Quota",Open,270371,853505,6
2nd Mop Up BDS/BSc,"BVDU Dental College and Hospital, Navi Mumbai,Bharati Vidyapeeth Dental College
and Hospital, Sec.7, Belapur Navi Mumbai., Maharashtra, 400614",BDS,"Deemed/Pai
d Seats
Quota",Open,307966,910407,11
2nd Mop Up BDS/BSc,"BVDU Dental College and Hospital, Sangli,Sangli-Miraj Road, Wanlesswadi Sangli.,
Maharashtra, 416414",BDS,"Deemed/Pai
d Seats
Quota",Open,254571,732922,6
2nd Mop Up BDS/BSc,"Bharati Vidyapeeth DU Dental College and Hospt., Pune,Bharati Vidyapeeth (Deemed
to be University) Dental College and Hospital, Pune, Maharashtra, 411043",BDS,"Deemed/Pai
d Seats
Quota",Open,379841,670820,9
2nd Mop Up BDS/BSc,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN
TOWN.
PURBA BARDHAMAN. W.B- 713101",BDS,All India,EWS,59650,61572,2
2nd Mop Up BDS/BSc,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN
TOWN.
PURBA BARDHAMAN. W.B- 713101",BDS,All India,OBC,56911,61190,4
2nd Mop Up BDS/BSc,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN
TOWN.
PURBA BARDHAMAN. W.B- 713101",BDS,All India,Open,42777,53899,8
2nd Mop Up BDS/BSc,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN
TOWN.
PURBA BARDHAMAN. W.B- 713101",BDS,All India,SC,167680,167680,1
2nd Mop Up BDS/BSc,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN
TOWN.
PURBA BARDHAMAN. W.B- 713101",BDS,All India,ST,273527,288294,2
2nd Mop Up BDS/BSc,"College of Nursing Ahilya Bai College of Nursing, Maulana Azad Medical
College,Ahilya Bai College of Nursing
Lok Nayak Hospital
Jawaharlal Nehru Marg, Delhi (NCT), 110002",B.Sc. Nursing,"B.Sc
Nursing
Delhi NCR",SC,254749,254749,1
2nd Mop Up BDS/BSc,"College of Nursing Ahilya Bai College of Nursing, Maulana Azad Medical
College,Ahilya Bai College of Nursing
Lok Nayak Hospital
Jawaharlal Nehru Marg, Delhi (NCT), 110002",B.Sc. Nursing,"B.Sc
Nursing All
India",Open,40016,40016,1
2nd Mop Up BDS/BSc,"College of Nursing Ahilya Bai College of Nursing, Maulana Azad Medical
College,Ahilya Bai College of Nursing
Lok Nayak Hospital
Jawaharlal Nehru Marg, Delhi (NCT), 110002",B.Sc. Nursing,"B.Sc
Nursing All
India",SC,279242,279242,1
2nd Mop Up BDS/BSc,"College of Nursing BHU, VARANASI,The Director Institute of Medical Sciences
Banaras Hindu University, Uttar Pradesh, 221005",B.Sc. Nursing,"B.Sc
Nursing All
India",EWS,189701,192748,2
2nd Mop Up BDS/BSc,"College of Nursing BHU, VARANASI,The Director Institute of Medical Sciences
Banaras Hindu University, Uttar Pradesh, 221005",B.Sc. Nursing,"B.Sc
Nursing All
India",OBC,152549,205809,4
2nd Mop Up BDS/BSc,"College of Nursing BHU, VARANASI,The Director Institute of Medical Sciences
Banaras Hindu University, Uttar Pradesh, 221005",B.Sc. Nursing,"B.Sc
Nursing All
India",Open,76034,147704,7
2nd Mop Up BDS/BSc,"College of Nursing BHU, VARANASI,The Director Institute of Medical Sciences
Banaras Hindu University, Uttar Pradesh, 221005",B.Sc. Nursing,"B.Sc
Nursing All
India",SC,202607,296976,5
2nd Mop Up BDS/BSc,"College of Nursing BHU, VARANASI,The Director Institute of Medical Sciences
Banaras Hindu University, Uttar Pradesh, 221005",B.Sc. Nursing,"B.Sc
Nursing All
India",ST,601501,601501,1
2nd Mop Up BDS/BSc,"College of Nursing Bhopal Nursing College, BMHRC, BHOPAL,Bhopal Memorial
Hospital and Research Centre Raisen bypass road karond bhopal, Madhya Pradesh,
462038",B.Sc. Nursing,"B.Sc
Nursing All
India",EWS,241057,371745,3
2nd Mop Up BDS/BSc,"College of Nursing Bhopal Nursing College, BMHRC, BHOPAL,Bhopal Memorial
Hospital and Research Centre Raisen bypass road karond bhopal, Madhya Pradesh,
462038",B.Sc. Nursing,"B.Sc
Nursing All
India",OBC,216113,242666,7
2nd Mop Up BDS/BSc,"College of Nursing Bhopal Nursing College, BMHRC, BHOPAL,Bhopal Memorial
Hospital and Research Centre Raisen bypass road karond bhopal, Madhya Pradesh,
462038",B.Sc. Nursing,"B.Sc
Nursing All
India",Open,148582,210827,11
2nd Mop Up BDS/BSc,"College of Nursing Bhopal Nursing College, BMHRC, BHOPAL,Bhopal Memorial
Hospital and Research Centre Raisen bypass road karond bhopal, Madhya Pradesh,
462038",B.Sc. Nursing,"B.Sc
Nursing All
India",SC,266681,305254,3
2nd Mop Up BDS/BSc,"College of Nursing Bhopal Nursing College, BMHRC, BHOPAL,Bhopal Memorial
Hospital and Research Centre Raisen bypass road karond bhopal, Madhya Pradesh,
462038",B.Sc. Nursing,"B.Sc
Nursing All
India",ST,429497,896285,2
2nd Mop Up BDS/BSc,"College of Nursing Dr. RML Hospital, New Delhi,Baba Kharak Singh Marg College of
Nursing Dr RML Hospital, Delhi (NCT), 110001",B.Sc. Nursing,"B.Sc
Nursing All
India",OBC,194737,240737,4
2nd Mop Up BDS/BSc,"College of Nursing Dr. RML Hospital, New Delhi,Baba Kharak Singh Marg College of
Nursing Dr RML Hospital, Delhi (NCT), 110001",B.Sc. Nursing,"B.Sc
Nursing All
India",Open,133786,189999,8
2nd Mop Up BDS/BSc,"College of Nursing Dr. RML Hospital, New Delhi,Baba Kharak Singh Marg College of
Nursing Dr RML Hospital, Delhi (NCT), 110001",B.Sc. Nursing,"B.Sc
Nursing All
India",SC,263625,301345,6
2nd Mop Up BDS/BSc,"College of Nursing Florence Nightingale CON, New
Delhi,collegeofnursinggtbh@gmail.com, Delhi (NCT), 110095",B.Sc. Nursing,"B.Sc
Nursing
Delhi NCR",OBC,257986,257986,1
2nd Mop Up BDS/BSc,"College of Nursing Florence Nightingale CON, New
Delhi,collegeofnursinggtbh@gmail.com, Delhi (NCT), 110095",B.Sc. Nursing,"B.Sc
Nursing
Delhi NCR",Open,227085,252075,2
