Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
Mop Up,"AB Shetty Memorial Inst. of
Dental Sce., Mangaluru",BDS,Deemed/Paid Seats Quota,Open,66441,693676,9
Mop Up,"ACS Medical College and
Hospital, Chennai",MBBS,Deemed/Paid Seats Quota,Open,111390,916238,91
Mop Up,"ACSR Govt Medical College,
Nellore",MBBS,All India,Open,17215,18634,6
Mop Up,"ACSR Govt Medical College,
Nellore",MBBS,All India,SC,90632,91099,2
Mop Up,"AGARTALA GOVT. MEDICAL
COLLEGE,AGARTALA",MBBS,All India,OBC,19156,19199,2
Mop Up,"AGARTALA GOVT. MEDICAL
COLLEGE,AGARTALA",MBBS,All India,Open,18770,18770,1
Mop Up,"AGARTALA GOVT. MEDICAL
COLLEGE,AGARTALA",MBBS,All India,SC,94219,94219,1
Mop Up,"AGARTALA GOVT. MEDICAL
COLLEGE,AGARTALA",MBBS,All India,ST,115506,115506,1
Mop Up,AIIMS Bathinda,MBBS,Open Seat Quota,Open,1109,2128,3
Mop Up,AIIMS Bathinda,MBBS,Open Seat Quota,SC,28603,36733,3
Mop Up,"AIIMS Bilaspur Changar
Palasiyan, Himachal Pradesh",MBBS,Open Seat Quota,OBC,7191,7191,1
Mop Up,AIIMS Guahawti,MBBS,Open Seat Quota,OBC,7910,8483,4
Mop Up,AIIMS Guahawti,MBBS,Open Seat Quota,Open,5161,7302,4
Mop Up,AIIMS Guahawti,MBBS,Open Seat Quota,SC,60769,61521,2
Mop Up,AIIMS Guahawti,MBBS,Open Seat Quota,SC PwD,556244,556244,1
Mop Up,AIIMS Guahawti,MBBS,Open Seat Quota,ST,71700,71700,1
Mop Up,AIIMS Jammu,MBBS,Open Seat Quota,OBC,7454,9307,4
Mop Up,AIIMS Jammu,MBBS,Open Seat Quota,Open,5704,7035,3
Mop Up,AIIMS Jammu,MBBS,Open Seat Quota,Open PwD,420565,420565,1
Mop Up,AIIMS Jammu,MBBS,Open Seat Quota,SC,48355,48355,1
Mop Up,AIIMS Mangalagiri,MBBS,Open Seat Quota,OBC,6236,6544,2
Mop Up,AIIMS Mangalagiri,MBBS,Open Seat Quota,Open,3077,3077,1
Mop Up,AIIMS Mangalagiri,MBBS,Open Seat Quota,Open PwD,462579,462579,1
Mop Up,AIIMS Rajkot,MBBS,Open Seat Quota,EWS PwD,366997,366997,1
Mop Up,AIIMS Rajkot,MBBS,Open Seat Quota,OBC,7505,7672,2
Mop Up,AIIMS Rajkot,MBBS,Open Seat Quota,OBC PwD,605848,605848,1
Mop Up,AIIMS Rajkot,MBBS,Open Seat Quota,Open,4708,5580,3
Mop Up,AIIMS Rajkot,MBBS,Open Seat Quota,Open PwD,231318,231318,1
Mop Up,AIIMS Rajkot,MBBS,Open Seat Quota,SC,43097,43097,1
Mop Up,AIIMS Rajkot,MBBS,Open Seat Quota,ST,81716,81716,1
Mop Up,"AIIMS, Bhubaneswar",MBBS,Open Seat Quota,Open PwD,351146,351146,1
