Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
Special Stray,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM
DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",MBBS,All India,Open,20370,20791,2
Special Stray,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM
DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",MBBS,All India,SC,107932,107932,1
Special Stray,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road
Bathinda, Punjab, 151001",MBBS,"Open Seat
Quota",Open,8855,8855,1
Special Stray,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road
Bathinda, Punjab, 151001",MBBS,"Open Seat
Quota",SC,84045,84045,1
Special Stray,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP",MBBS,"Open Seat
Quota",Open,8913,8913,1
Special Stray,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP",MBBS,"Open Seat
Quota",SC,105837,105837,1
Special Stray,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",MBBS,"Open Seat
Quota",OBC,20074,20074,1
Special Stray,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",MBBS,"Open Seat
Quota",SC,86250,86250,1
Special Stray,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot
Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",MBBS,"Open Seat
Quota",EWS,19946,19946,1
Special Stray,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot
Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",MBBS,"Open Seat
Quota",OBC,20156,20156,1
Special Stray,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019",MBBS,"Open Seat
Quota",Open,3719,3719,1
Special Stray,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan
Region)Telangana508126, Telangana, 508126",MBBS,"Open Seat
Quota",Open,7740,19796,3
Special Stray,"AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH
DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",MBBS,"Open Seat
Quota",OBC,19831,19831,1
Special Stray,"AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH
DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",MBBS,"Open Seat
Quota",SC,104065,104065,1
Special Stray,"AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH
DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",MBBS,"Open Seat
Quota",ST,124211,124211,1
Special Stray,"AIIMS, Kalyani,NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West
Bengal, India, West Bengal, 741245",MBBS,"Open Seat
Quota",Open,12259,12259,1
Special Stray,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,"Open Seat
Quota",OBC,20213,20281,4
Special Stray,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,"Open Seat
Quota",Open,19789,20095,5
Special Stray,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,"Open Seat
Quota",SC,103910,106643,3
