Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
Stray Vacancy,"ACSR Govt Medical College,
Nellore",MBBS,All India,Open,19309,19598,3
Stray Vacancy,"ACSR Govt Medical College,
Nellore",MBBS,All India,SC,100066,100602,2
Stray Vacancy,"AGARTALA GOVT. MEDICAL
COLLEGE,AGARTALA",MBBS,All India,ST,124032,124032,1
Stray Vacancy,AIIMS Bathinda,MBBS,Open Seat Quota,Open,3330,3330,1
Stray Vacancy,AIIMS Bathinda,MBBS,Open Seat Quota,SC,45982,45982,1
Stray Vacancy,AIIMS Guahawti,MBBS,Open Seat Quota,Open,7491,7805,2
Stray Vacancy,AIIMS Guahawti,MBBS,Open Seat Quota,SC,67590,67590,1
Stray Vacancy,AIIMS Jammu,MBBS,Open Seat Quota,OBC,13760,14907,2
Stray Vacancy,AIIMS Jammu,MBBS,Open Seat Quota,Open,8115,8115,1
Stray Vacancy,AIIMS Jammu,MBBS,Open Seat Quota,SC,79297,79297,1
Stray Vacancy,AIIMS Mangalagiri,MBBS,Open Seat Quota,Open,4388,4388,1
Stray Vacancy,AIIMS Rajkot,MBBS,Open Seat Quota,EWS,8017,8017,1
Stray Vacancy,AIIMS Rajkot,MBBS,Open Seat Quota,OBC PwD,627841,627841,1
Stray Vacancy,"AIIMS, Bhubaneswar",MBBS,Open Seat Quota,Open PwD,484885,484885,1
Stray Vacancy,"AIIMS, Bhubaneswar",MBBS,Open Seat Quota,ST,63824,63824,1
Stray Vacancy,"AIIMS, Bibi Nagar, Hyderabad",MBBS,Open Seat Quota,Open,4628,4803,2
Stray Vacancy,"AIIMS, Bibi Nagar, Hyderabad",MBBS,Open Seat Quota,Open PwD,784387,784387,1
Stray Vacancy,"AIIMS, Deogarh",MBBS,Open Seat Quota,OBC,8301,8301,1
Stray Vacancy,"AIIMS, Deogarh",MBBS,Open Seat Quota,SC,70039,70039,1
Stray Vacancy,"AIIMS, Deogarh",MBBS,Open Seat Quota,ST,103596,103596,1
Stray Vacancy,"AIIMS, Gorakhpur",MBBS,Open Seat Quota,OBC PwD,475745,475745,1
Stray Vacancy,"AIIMS, Kalyani",MBBS,Open Seat Quota,Open PwD,759690,759690,1
Stray Vacancy,"AIIMS, Madurai",MBBS,Open Seat Quota,OBC,13939,15436,5
Stray Vacancy,"AIIMS, Madurai",MBBS,Open Seat Quota,Open,10449,11261,5
Stray Vacancy,"AIIMS, Madurai",MBBS,Open Seat Quota,SC,80240,88195,4
Stray Vacancy,"AIIMS, Madurai",MBBS,Open Seat Quota,ST,107630,107630,1
Stray Vacancy,"AIIMS, Nagpur",MBBS,Open Seat Quota,Open,2793,2793,1
Stray Vacancy,"AIIMS, Patna",MBBS,Open Seat Quota,OBC,3673,4238,3
Stray Vacancy,"AIIMS, Patna",MBBS,Open Seat Quota,Open,3264,3460,2
