SNo,Rank,Allotted Quota,Allotted Institute,Course,Remarks,Allotted Quota_1,,Allotted Institute_1,Course_1,Allotted Category,Candidate Category,"Option
No.",Remarks_1
1,1,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
2,2,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
3,3,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
4,4,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
5,5,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
6,6,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not fill up fresh choices.
7,7,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
8,8,JNO,JIPMER PUDUCHERRY,MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
9,9,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
10,10,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
11,11,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
12,12,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
13,13,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
14,14,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not fill up fresh choices.
15,15,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not fill up fresh choices.
16,16,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
17,17,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
18,18,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not fill up fresh choices.
19,19,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
20,20,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
21,21,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
22,22,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
23,23,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
24,24,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
25,25,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
26,26,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
27,27,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
28,28,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
29,29,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
30,30,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
31,31,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
32,32,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
33,33,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
34,34,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not fill up fresh choices.
35,35,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
36,36,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not fill up fresh choices.
37,37,AMS,"AIIMS, New Delhi",MBBS,Reported,-,,-,-,-,-,-,Did not opt for Upgradation.
38,38,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
39,39,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
40,40,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
41,41,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
42,42,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
43,43,AIQ,"BAHIRAMJEE JIJIBHAI MEDICAL
COLLGE, PUNE",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
44,44,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
45,45,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
46,46,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
47,47,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
48,48,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
49,49,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
50,50,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
51,51,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
52,52,JNO,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
53,53,AIQ,"MAULANA AZAD MEDICAL COLLEGE,
NEW DELHI",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
54,54,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
55,55,JNO,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
56,56,AIQ,"MAULANA AZAD MEDICAL COLLEGE,
NEW DELHI",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
57,57,JNO,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
58,58,AIQ,"MAULANA AZAD MEDICAL COLLEGE,
NEW DELHI",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
59,59,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
60,60,JNO,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-,-,-,-,No Upgradation,
61,61,DU,"Maulana Azad Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
62,62,JNO,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
63,63,AIQ,"MAULANA AZAD MEDICAL COLLEGE,
NEW DELHI",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
64,64,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
65,65,JNO,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
66,66,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
67,67,AIQ,"GOVT.MEDICAL COLLEGE, KOTA",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
68,68,AIQ,"MAULANA AZAD MEDICAL COLLEGE,
NEW DELHI",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
69,69,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
70,70,JNO,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
71,71,JNO,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-,-,-,-,No Upgradation,
72,72,JNO,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
73,73,AIQ,"MAULANA AZAD MEDICAL COLLEGE,
NEW DELHI",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
74,74,AIQ,"MAULANA AZAD MEDICAL COLLEGE,
NEW DELHI",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
75,75,AIQ,"MAULANA AZAD MEDICAL COLLEGE,
NEW DELHI",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
76,76,JNO,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
77,77,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
78,78,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
79,79,AIQ,"MAULANA AZAD MEDICAL COLLEGE,
NEW DELHI",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
80,80,AIQ,"MAULANA AZAD MEDICAL COLLEGE,
NEW DELHI",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
81,81,AIQ,"MAULANA AZAD MEDICAL COLLEGE,
NEW DELHI",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
82,82,AIQ,"S.M.S. MEDICAL COLLEGE, JAIPUR",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
83,83,AIQ,"MAULANA AZAD MEDICAL COLLEGE,
NEW DELHI",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
84,84,AIQ,"MAULANA AZAD MEDICAL COLLEGE,
NEW DELHI",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
85,85,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
86,86,AIQ,"MAULANA AZAD MEDICAL COLLEGE,
NEW DELHI",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
87,87,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
88,88,AIQ,"GOVT.MEDICAL
COLLEGE,THIRUVANANTHAPURAM",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
89,89,AIQ,"MAULANA AZAD MEDICAL COLLEGE,
NEW DELHI",MBBS,Reported,JNO,JIPMER PUDUCHERRY,MBBS,GN,GNNO,2,Upgraded,
90,90,AIQ,"VMMC AND SAFDARJUNG HOSPITAL,
NEW DELHI",MBBS,Reported,AIQ,"MAULANA AZAD MEDICAL COLLEGE,
NEW DELHI",MBBS,GN,GNNO,2,Upgraded,
91,91,JNO,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
92,92,AIQ,"SETH G.S. MEDICAL COLLEGE,
MUMBAI",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
93,93,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
94,94,JNO,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
95,95,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
96,96,JNO,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
97,97,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
98,98,JNO,JIPMER PUDUCHERRY,MBBS,Not Reported,-,-,-,-,-,-,Not Allotted.,
99,99,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
100,100,JNO,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-,-,-,-,No Upgradation,
101,101,AIQ,"VMMC AND SAFDARJUNG HOSPITAL,
NEW DELHI",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
102,102,AIQ,"VMMC AND SAFDARJUNG HOSPITAL,
NEW DELHI",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
103,103,JNO,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-,-,-,-,No Upgradation,
104,104,AIQ,"VMMC AND SAFDARJUNG HOSPITAL,
NEW DELHI",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
105,105,JNO,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
106,106,-,-,-,-,AIQ,"Gandhi Medical College Musheerabad
Secunderabad",MBBS,GN,OBC,1,Fresh Allotted in 2nd Round,
107,107,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
108,108,AIQ,"VMMC AND SAFDARJUNG HOSPITAL,
NEW DELHI",MBBS,Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
109,109,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
110,110,AIQ,"SETH G.S. MEDICAL COLLEGE,
MUMBAI",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
111,111,JNO,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
112,112,AIQ,"GOVERNMENT MEDICAL COLLEGE
AND HOSPITAL, CHANDIGAR",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
113,113,AMS,"AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
114,114,DU,"Maulana Azad Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
115,115,AIQ,"VMMC AND SAFDARJUNG HOSPITAL,
NEW DELHI",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
