SNo,RollNo,Rank,Allotted Quota,Allotted Institute,Course,Allotted Category,Candidate Category,Remarks
1,4405114297,215,All India,"University College of Medical
Sciences, New Delhi",MBBS,Open,GN,Allotted
2,2803002532,231,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted
3,2001201707,582,Open Seat Quota,"AIIMS, Nagpur",MBBS,Open,GN,Allotted
4,3905118208,1109,Open Seat Quota,AIIMS Bathinda,MBBS,Open,GN,Allotted
5,4201003412,1325,All India,"KGMC, LUCKNOW",MBBS,Open,GN,Allotted
6,3801007312,1386,Open Seat Quota,AIIMS Bathinda,MBBS,Open,GN,Allotted
7,3604010109,1431,Open Seat Quota,"AIIMS, Raipur",MBBS,Open,GN,Allotted
8,3115022180,1555,Open Seat Quota,"AIIMS, Raipur",MBBS,OBC,OBC,Allotted
9,1504012077,1640,Open Seat Quota,"AIIMS, Rishikesh",MBBS,OBC,OBC,Allotted
10,3107009227,1683,Open Seat Quota,"AIIMS, Nagpur",MBBS,Open,OBC,Allotted
11,2203013172,1976,All India,"GOVERNMENT MEDICAL
COLLEGE, SURAT",MBBS,Open,EWS,Allotted
12,1601002730,2128,Open Seat Quota,AIIMS Bathinda,MBBS,Open,GN,Allotted
13,2207003505,2168,All India,"B.J. MEDICAL COLLEGE,
AHMEDABAD",MBBS,OBC,OBC,Allotted
14,3110001566,2251,All India,"LOKMANYA TILAK MUNICIPAL
M C,MUMBAI",MBBS,Open,GN,Allotted
15,1505006089,2365,Open Seat Quota,"AIIMS, Patna",MBBS,Open,GN,Allotted
16,3901016106,2383,Open Seat Quota,"AIIMS, Patna",MBBS,Open,OBC,Allotted
17,1601012046,2395,All India,"Dr. B.R. Ambedkar State Institute
of Medical Sciences",MBBS,Open,GN,Allotted
18,3605011005,2405,Open Seat Quota,"AIIMS, Nagpur",MBBS,Open,GN,Allotted
19,4201013115,2486,Open Seat Quota,"AIIMS, Bibi Nagar, Hyderabad",MBBS,Open,GN,Allotted
20,3111102286,2491,Open Seat Quota,"AIIMS, Nagpur",MBBS,Open,GN,Allotted
21,3903226156,2536,All India,"NDMC Medical College, Delhi",MBBS,OBC,OBC,Allotted
22,4608005225,2589,Open Seat Quota,"AIIMS, Patna",MBBS,Open,GN,Allotted
23,3902008221,2663,All India,"SARDAR PATEL MEDICAL
COLLEGE, BIKANER",MBBS,Open,EWS,Allotted
24,3604001103,2747,Open Seat Quota,"AIIMS, Kalyani",MBBS,Open,GN,Allotted
25,4405107031,2964,All India,"SETH G.S. MEDICAL COLLEGE,
MUMBAI",MBBS,EWS,EWS,Allotted
26,3102018110,3042,Open Seat Quota,"AIIMS, Nagpur",MBBS,OBC,OBC,Allotted
27,3115034176,3077,Open Seat Quota,AIIMS Mangalagiri,MBBS,Open,GN,Allotted
28,1501007204,3193,Open Seat Quota,"AIIMS, Patna",MBBS,OBC,OBC,Allotted
29,3113010155,3261,Open Seat Quota,"AIIMS, Nagpur",MBBS,OBC,OBC,Allotted
30,3004011354,3296,All India,"GRANT MEDICAL COLL & SIR
J.J.HOSP,MUMBAI",MBBS,Open,OBC,Allotted
31,3103019064,3394,Open Seat Quota,"AIIMS, Nagpur",MBBS,OBC,OBC,Allotted
32,1504002708,3411,All India,"KGMC, LUCKNOW",MBBS,OBC,OBC,Allotted
33,2001015140,3432,All India,"BAHIRAMJEE JIJIBHAI
MEDICAL COLLGE, PUNE",MBBS,Open,GN,Allotted
34,4401004463,3437,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Open,GN,Allotted
35,4408103702,3452,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Open,GN,Allotted
36,2304009327,3518,All India,"GRANT MEDICAL COLL & SIR
J.J.HOSP,MUMBAI",MBBS,Open,GN,Allotted
37,1502227341,3536,All India,"KGMC, LUCKNOW",MBBS,OBC,OBC,Allotted
38,4608103279,3628,All India,"Bangalore Medical College and
Research Institute",MBBS,Open,GN,Allotted
39,2808102153,3638,Open Seat Quota,"AIIMS, Patna",MBBS,OBC,OBC,Allotted
40,4101102283,3639,All India,"MADRAS MEDICAL COLLEGE,
CHENNAI",MBBS,OBC,OBC,Allotted
41,1502221130,3644,Open Seat Quota,"AIIMS, Patna",MBBS,OBC,OBC,Allotted
42,2207003527,3801,All India,"MEDICAL COLLEGE, BARODA",MBBS,Open,GN,Allotted
43,4403006363,3809,Open Seat Quota,"Jawaharlal Nehru Medical
College, AMU,ALIGARH",MBBS,Open,OBC,Allotted
44,2207002592,3925,All India,"Pt. D.D.U MEDICAL COLLEGE,
RAJKOT",MBBS,Open,GN,Allotted
45,1702007114,3964,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Open,GN,Allotted
46,2001109303,3990,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Open,GN,Allotted
47,3903203946,4017,All India,"Maulana Azad Institute of Dental
Sciences, New Delhi",BDS,Open,EWS,Allotted
48,4416002017,4029,Open Seat Quota,"Jawaharlal Nehru Medical
College, AMU,ALIGARH",MBBS,Open,GN,Allotted
49,4201002640,4042,Open Seat Quota,"AIIMS, Bibi Nagar, Hyderabad",MBBS,Open,GN,Allotted
50,3604002923,4278,Open Seat Quota,"AIIMS, Kalyani",MBBS,Open,GN,Allotted
51,2811020266,4384,All India,"GOVT.MEDICAL
COLLEGE,THIRUVANANTHAPU
RAM",MBBS,Open,GN,Allotted
52,4411115293,4416,Open Seat Quota,"Jawaharlal Nehru Medical
College, AMU,ALIGARH",MBBS,Open,GN,Allotted
53,1206016060,4420,Open Seat Quota,"AIIMS, Kalyani",MBBS,Open,GN,Allotted
54,2808106179,4552,Open Seat Quota,JIPMER KARAIKAL,MBBS,Open,GN,Allotted
55,3603003289,4572,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Open,GN,Allotted
56,4403012480,4617,All India,"Govt institute of Medcial
Sciences, GREATER NOIDA",MBBS,Open,GN,Allotted
57,2304007466,4631,All India,"BAHIRAMJEE JIJIBHAI
MEDICAL COLLGE, PUNE",MBBS,Open,GN,Allotted
58,2805001119,4662,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,OBC,OBC,Allotted
59,4407004264,4693,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,EWS,EWS,Allotted
60,2207003250,4708,Open Seat Quota,AIIMS Rajkot,MBBS,Open,GN,Allotted
61,4208001653,4762,Open Seat Quota,"AIIMS, Bibi Nagar, Hyderabad",MBBS,OBC,OBC,Allotted
62,3103002033,4814,All India,"SETH G.S. MEDICAL COLLEGE,
MUMBAI",MBBS,OBC,OBC,Allotted
63,3104001818,4868,All India,"TOPIWALA NATIONAL
MEDICAL COLLEGE,MUMBAI",MBBS,Open,GN,Allotted
64,4409001045,4891,All India,"RUHS College of Medical
Sciences, Jaipur",MBBS,Open,EWS,Allotted
65,2001103652,4901,All India,"GRANT MEDICAL COLL & SIR
J.J.HOSP,MUMBAI",MBBS,Open,GN,Allotted
66,4503002635,4939,Open Seat Quota,"Jawaharlal Nehru Medical
College, AMU,ALIGARH",MBBS,Open,EWS,Allotted
67,2302004156,4946,All India,"PT. B.D. SHARMA PGIMS,
ROHTAK",MBBS,Open,EWS,Allotted
68,2001011202,4984,Delhi University Quota,"Lady Hardinge Medical College,
New Delhi",MBBS,Open,GN,Allotted
69,2207013290,4992,All India,"Pt. D.D.U MEDICAL COLLEGE,
RAJKOT",MBBS,Open,GN,Allotted
70,2001110040,5034,Delhi University Quota,"Lady Hardinge Medical College,
New Delhi",MBBS,Open,GN,Allotted
