SNo,Rank,Allotted Quota,Allotted Institute,Course,Remarks,Allotted Quota_1,Allotted Institute_1,Course_1,Allotted Category,Candidate Category,option No.,Remarks_1
1,1,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
2,2,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3,3,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
4,4,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
5,5,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
6,6,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
7,7,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
8,8,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
9,9,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
10,10,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
11,11,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
12,12,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
13,13,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
14,14,All India,"SETH G.S. MEDICAL
COLLEGE, MUMBAI",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
15,15,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
16,16,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
17,17,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
18,18,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
19,19,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
20,20,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
21,21,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
22,22,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
23,23,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24,24,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
25,25,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
26,26,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
27,27,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
28,28,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
29,29,"Open Seat
Quota","AIIMS, New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
30,30,"Open Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
