SNo,RollNo,Rank,Allotted Quota,Allotted Institute,Course,Allotted Category,Candidate Category,Remarks
1,4408013150,1284,All India,"University College of Medical
Sciences, New Delhi",MBBS,Open,GN,Allotted
2,3804001515,1816,All India,"KGMC, LUCKNOW",MBBS,Open,GN,Allotted
3,4408007552,2109,Delhi University Quota,"Maulana Azad Medical College,
New Delhi",MBBS,Open,GN,Allotted
4,4409007209,2793,Open Seat Quota,"AIIMS, Nagpur",MBBS,Open,GN,Allotted
5,3903110416,3258,All India,"S.M.S. MEDICAL COLLEGE,
JAIPUR",MBBS,OBC,OBC,Allotted
6,4411113228,3264,Open Seat Quota,"AIIMS, Patna",MBBS,Open,GN,Allotted
7,3802006087,3330,Open Seat Quota,AIIMS Bathinda,MBBS,Open,GN,Allotted
8,2001206460,3353,Delhi University Quota,"University College of Medical
Sciences, New Delhi",MBBS,Open,GN,Allotted
9,3604001243,3460,Open Seat Quota,"AIIMS, Patna",MBBS,Open,EWS,Allotted
10,9902001099,3673,Open Seat Quota,"AIIMS, Patna",MBBS,OBC,OBC,Allotted
11,4102007411,3728,All India,"MADRAS MEDICAL COLLEGE,
CHENNAI",MBBS,OBC,OBC,Allotted
12,4408119441,3818,All India,"KGMC, LUCKNOW",MBBS,OBC,OBC,Allotted
13,4411005081,4046,Open Seat Quota,"AIIMS, Patna",MBBS,OBC,OBC,Allotted
14,3905107242,4238,Open Seat Quota,"AIIMS, Patna",MBBS,OBC,OBC,Allotted
15,1206012101,4388,Open Seat Quota,AIIMS Mangalagiri,MBBS,Open,GN,Allotted
16,4201004407,4628,Open Seat Quota,"AIIMS, Bibi Nagar, Hyderabad",MBBS,Open,GN,Allotted
17,2001214273,4733,All India,"NDMC Medical College, Delhi",MBBS,OBC,OBC,Allotted
18,3109014210,4803,Open Seat Quota,"AIIMS, Bibi Nagar, Hyderabad",MBBS,Open,GN,Allotted
19,4408112573,5021,All India,"GRANT MEDICAL COLL & SIR
J.J.HOSP,MUMBAI",MBBS,Open,GN,Allotted
20,4409003132,5191,Open Seat Quota,"Jawaharlal Nehru Medical
College, AMU,ALIGARH",MBBS,Open,OBC,Allotted
21,2811001241,5370,All India,"GOVT.MEDICAL
COLLEGE,THIRUVANANTHAPU
RAM",MBBS,Open,GN,Allotted
22,4407007097,5425,All India,"Bangalore Medical College and
Research Institute",MBBS,Open,GN,Allotted
23,4408015023,5602,All India,"Dr Ram Manohar Lohia Inst. of
Med. Sce., Lucknow",MBBS,OBC,OBC,Allotted
24,4403005517,6474,All India,"TOPIWALA NATIONAL
MEDICAL COLLEGE,MUMBAI",MBBS,Open,GN,Allotted
25,3804001722,6562,All India,"GRANT MEDICAL COLL & SIR
J.J.HOSP,MUMBAI",MBBS,Open,GN,Allotted
26,2001201148,6849,All India,"BAHIRAMJEE JIJIBHAI
MEDICAL COLLGE, PUNE",MBBS,Open,GN,Allotted
27,4408014105,7070,All India,"G.S.V.M. MEDICAL COLLEGE,
KANPUR",MBBS,Open,GN,Allotted
28,3605005092,7352,All India,"S.C.B. MEDICAL COLLEGE,
CUTTACK",MBBS,Open,GN,Allotted
29,1204006460,7368,All India,Osmania Medical College Koti,MBBS,Open,EWS,Allotted
30,1402106288,7491,Open Seat Quota,AIIMS Guahawti,MBBS,Open,GN,Allotted
31,2807009092,7518,All India,"GOVT. MEDICAL COLLEGE,
KOTTAYAM",MBBS,Open,GN,Allotted
32,1203008065,7805,Open Seat Quota,AIIMS Guahawti,MBBS,Open,GN,Allotted
33,2304006361,7977,All India,"L.L.R.M. MEDICAL COLLEGE,
MEERUT",MBBS,Open,EWS,Allotted
34,2208006219,8017,Open Seat Quota,AIIMS Rajkot,MBBS,EWS,EWS,Allotted
35,3110119174,8019,All India,"BAHIRAMJEE JIJIBHAI
MEDICAL COLLGE, PUNE",MBBS,Open,GN,Allotted
36,2304002361,8115,Open Seat Quota,AIIMS Jammu,MBBS,Open,GN,Allotted
37,2812010011,8201,Open Seat Quota,JIPMER KARAIKAL,MBBS,Open,GN,Allotted
38,1502008465,8301,Open Seat Quota,"AIIMS, Deogarh",MBBS,OBC,OBC,Allotted
39,2803014072,8327,Open Seat Quota,JIPMER KARAIKAL,MBBS,Open,GN,Allotted
40,1205034127,8386,All India,"Bangalore Medical College and
Research Institute",MBBS,EWS,EWS,Allotted
41,2302005050,8423,All India,"GRANT MEDICAL COLL & SIR
J.J.HOSP,MUMBAI",MBBS,EWS,EWS,Allotted
42,1504001158,8437,All India,"Indira Gandhi Institute of Medical
Sciences, Patna",MBBS,Open,OBC,Allotted
43,1507002065,8467,All India,"Indira Gandhi Institute of Medical
Sciences, Patna",MBBS,Open,EWS,Allotted
44,3802001177,8469,All India,"RUHS College of Medical
Sciences, Jaipur",MBBS,Open,GN,Allotted
45,1502305080,8472,All India,"Indira Gandhi Institute of Medical
Sciences, Patna",MBBS,OBC,OBC,Allotted
46,3604003856,8559,Open Seat Quota,JIPMER KARAIKAL,MBBS,Open,GN,Allotted
47,4407014540,8561,All India,"MOTI LAL NEHRU MEDICAL
COLL, ALLAHABAD",MBBS,Open,OBC,Allotted
48,4404001150,8602,All India,"MOTI LAL NEHRU MEDICAL
COLL, ALLAHABAD",MBBS,Open,GN,Allotted
49,2001303245,8630,All India,"Govt institute of Medcial
Sciences, GREATER NOIDA",MBBS,Open,GN,Allotted
50,1502003822,8650,All India,"MEDICAL COLLEGE, KOLKATA",MBBS,EWS,EWS,Allotted
51,2808004235,8813,Open Seat Quota,JIPMER KARAIKAL,MBBS,Open,GN,Allotted
52,2001309375,8949,All India,"M.G.M. MEDICAL COLLEGE,
INDORE",MBBS,Open,GN,Allotted
53,2304014168,9204,All India,"ESIC Medical College, Faridabad",MBBS,Open,GN,Allotted
54,4413001633,9287,All India,"S.N. MEDICAL COLLEGE, AGRA",MBBS,Open,GN,Allotted
55,4408004117,9300,All India,"MOTI LAL NEHRU MEDICAL
COLL, ALLAHABAD",MBBS,EWS,EWS,Allotted
56,1502012226,9312,All India,"RAJENDRA INST. OF MED.
SCI., RANCHI",MBBS,Open,GN,Allotted
57,3905010374,9445,All India,"M.G.M. MEDICAL COLLEGE,
INDORE",MBBS,Open,GN,Allotted
58,3901017081,9536,All India,"JAWAHAR LAL NEHRU
MEDICAL, AJMER",MBBS,Open,GN,Allotted
59,2001106075,9694,All India,"ESIC Medical College, Faridabad",MBBS,Open,GN,Allotted
60,2207006566,9852,All India,"M.P. SHAH MEDICAL COLLEGE,
JAMNAGAR",MBBS,Open,GN,Allotted
61,3801007337,10035,Open Seat Quota,JIPMER KARAIKAL,MBBS,Open,GN,Allotted
62,1203007103,10061,All India,"Andhra Medical College,
Visakhapatnam",MBBS,Open,GN,Allotted
63,4401001052,10093,All India,"DR.S.N. MEDICAL COLLEGE,
JODHPUR",MBBS,Open,GN,Allotted
64,3903042002,10158,All India,"DR.S.N. MEDICAL COLLEGE,
JODHPUR",MBBS,Open,GN,Allotted
65,2809036009,10166,All India,"GOVT.MEDICAL COLLEGE,
THRISSUR",MBBS,Open,OBC,Allotted
66,2702106717,10235,Open Seat Quota,JIPMER KARAIKAL,MBBS,Open,GN,Allotted
67,4409007262,10252,All India,"MAHARANI LAXMI BAI
MEDICAL COLL,JHANSI",MBBS,Open,GN,Allotted
68,2604001540,10260,All India,"RAJENDRA INST. OF MED.
SCI., RANCHI",MBBS,OBC,OBC,Allotted
69,2808102098,10275,All India,"GOVT.MEDICAL COLLEGE,
THRISSUR",MBBS,OBC,OBC,Allotted
