SNo,Rank,Allotted Quota,Allotted Institute,Course,Allotted Category,Candidate Category,Remarks
1,1910,"Open Seat
Quota","AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH
Uttarakhand - 249203, Uttarakhand, 249203",MBBS,Open,EWS,Allotted
2,2198,"Open Seat
Quota","AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,Open,OBC,Allotted
3,2207,"Open Seat
Quota","AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES
NEAR TADEPALLI
MANGALAGIRI
GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,Open,GN,Allotted
4,2735,"Open Seat
Quota","INST.OF MED.SCIENCES, BHU,VARANASI,Institute of Medical Sciences, Banaras
Hindu University, Uttar Pradesh, 211005",MBBS,Open,OBC,Allotted
5,2737,"Open Seat
Quota","AIIMS, Patna,Phulwarisharif, Patna-801507, Bihar, 801507",MBBS,Open,OBC,Allotted
6,2908,"Open Seat
Quota","AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH
Uttarakhand - 249203, Uttarakhand, 249203",MBBS,Open,GN,Allotted
7,2915,"Open Seat
Quota","JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry,
605006",MBBS,OBC,OBC,Allotted
8,2941,"Open Seat
Quota","AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH
Uttarakhand - 249203, Uttarakhand, 249203",MBBS,OBC,OBC,Allotted
9,3132,"Open Seat
Quota","AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road
Bathinda, Punjab, 151001",MBBS,OBC,OBC,Allotted
10,3286,"Open Seat
Quota","AIIMS, Rai Bareli ,All India Institute of Medical Sciences Raebareli, Uttar Pradesh,
229405",MBBS,Open,GN,Allotted
11,3310,"Open Seat
Quota","AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH
DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",MBBS,Open,GN,Allotted
12,3352,"Open Seat
Quota","AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES
NEAR TADEPALLI
MANGALAGIRI
GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,Open,GN,Allotted
13,3579,"Open Seat
Quota","AIIMS, Rai Bareli ,All India Institute of Medical Sciences Raebareli, Uttar Pradesh,
229405",MBBS,Open,GN,Allotted
14,3603,"Open Seat
Quota","AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat,
Gorakhpur, Uttar Pradesh, 273008",MBBS,Open,OBC,Allotted
15,3726,All India,"Jhargram Government Medical College and Hospital, West Bengal,315, Main Road,
Jhargram, West Bengal Pincode : 721507",MBBS,Open,GN,Allotted
16,3767,All India,"S.M.S. MEDICAL COLLEGE, JAIPUR,JLN Marg, Jaipur, Rajasthan, 302004",MBBS,Open,OBC,Allotted
17,3988,All India,"S.M.S. MEDICAL COLLEGE, JAIPUR,JLN Marg, Jaipur, Rajasthan, 302004",MBBS,OBC,OBC,Allotted
18,4067,All India,"MADRAS MEDICAL COLLEGE, CHENNAI,MADRAS MEDICAL COLLEGE
EVR PERIYAR SALAI,PARK TOWN,CHENNAI,TAMIL NADU., Tamil Nadu, 600003",MBBS,Open,OBC,Allotted
