SNo,Rank,Allotted Quota,Allotted Institute,Course,Remarks,Allotted Quota_1,Allotted Institute_1,Course_1,Remarks_1,Allotted Quota_2,"Allotte
d
Institu
te",Course_2,Allotted Category,"candidat
e
Category","option
No.",Remarks_2
1,1(A),"Open
Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
2,1(B),"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
3,3,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
4,4,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
5,5,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
6,6,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
7,7,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
8,8,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
9,9,"Open
Seat
Quota","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
10,10,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
11,11,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
12,12,All India,"INST OF PG
MED EDU &
RESEARCH,KO
LKATA",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
13,13,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
14,14,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
15,15,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
16,16,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
17,17,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
18,18,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
19,19,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
20,20,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
21,21,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
22,22,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
23,24,All India,"MADRAS
MEDICAL
COLLEGE,
CHENNAI",MBBS,"Not
Reported",-,-,-,-,-,-,-,-,-,-,"Did not fill
up fresh
choices."
24,25,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
25,26,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
26,27,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
27,28,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
28,29,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
29,30,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
30,31,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
31,32,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
32,33,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
33,34,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
34,35,"Open
Seat
Quota","AIIMS,
Bhubaneswar",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
35,36,"Open
Seat
Quota","AIIMS, New
Delhi",MBBS,Reported,-,-,-,-,-,-,-,-,-,-,"Did not
opt for
Upgradati
on."
